text,cluster
Καρδίαν καθαράν θέλ' ο Θεός,1
Ου Θεός κι ου γείτονας,1
Θέλει να κρυφθή πίσω από το δάχτυλό του,1
Σαν να τον λάβωσ' ο λύκος,1
Τον καταφέρνω,1
Σαν εκκλησιά 'ς την ερημιά που δεν την λειτουργούνε έστε είν' αυτός οπ' αγαπά και δεν τον αγαπούνε,1
Ξένο βιο καλολογάριασ' το,1
Της Κυριακής το όνειρο ως το γιόμα στρέει,1
Δεν αξίζει ο κόπος,1
Ειναι στα ολίστια,2
Μ'κρος πιρδάρ - μιγάλους γουμάρ',2
Πέντε γρόσια ΄ς το πουγγί,2
Όλα διορθώνονται μονάχα του σπανού τα γένια,2
Σαν μαγειρεύει η μάνα του ο νους του φεύγει,2
"Με παίρνει ξωπίσω, με κυνηγάει, με παρακολουθεί",2
Τον ζουρλόν 'ς του χωριάτη ξένοι πόνοι τον γεράζουν,2
Όξ' απού θάνατου!,3
Η κόττα γαργανίζοντας τα μάτια της θα βγάλη,3
Πέτρα που καίγεται το νερό δεν την κρατά,3
Τούρθε σαν της κουκουβάγιας το πουλί,3
Γέλια σαν κομπολόγια,4
Μου το βγαλε απ' τις μύτες,4
Όλοι κλαίν' τα χάλια τ'ς κι ο μυλωνάς τη δέσι,5
Τούρθε σαν της κουκουβάγιας το πουλί,5
"Όσον ξιτξγκαξίς τα σκατά, τόσον περισσότερον βρουμούν",5
Πέντε γρόσια ΄ς το πουγγί,6
Όλα διορθώνονται μονάχα του σπανού τα γένια,6
Απόστολος παρήγορος χασάπικης ειρήνης,6
Φκειάνομε καλυβάκια,6
Ξύλα κούτσουρα δαυλιά καϋμένα,6
